id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30289658,"Ruhiges Cityappartment ,5 Min ins Zentrum",88627193,Julia,,Alsergrund,48.22523,16.35686,Entire home/apt,71,1,12,2019-09-29,0.37,1,353,0,
30289945,"Apartamento tranquilo, bien situado.",49828616,Amets,,Hietzing,48.19157,16.276,Entire home/apt,100,7,3,2021-07-07,0.08,4,161,1,
30291687,Brand New York Style Appartement + AIR-Condition,221115322,Rebbecca,,Leopoldstadt,48.21546,16.38399,Entire home/apt,63,3,43,2022-01-02,1.32,3,104,10,
29677543,3. Superclose to Naschmarkt & Mariahilferstrasse,19912070,Ujale,,Mariahilf,48.19993,16.36081,Entire home/apt,82,2,97,2022-02-01,2.40,5,61,4,
29683051,City centre Mariahilf,110311035,Margarita,,Mariahilf,48.19929,16.35658,Entire home/apt,91,3,50,2022-03-07,1.23,3,85,20,
30306026,Room in an old viennise appartmant near the center,42036838,Zahra,,Wieden,48.19208,16.36441,Private room,25,2,7,2019-03-24,0.17,2,0,0,
30306978,Luxury Apartment in Old Town Centre,22835213,Nina,,Innere Stadt,48.2104,16.38185,Entire home/apt,500,3,22,2020-03-14,0.56,4,0,0,
30308681,Sunny room in central shared flat with terasse,65309708,Ronja,,Margareten,48.18640545018865,16.36008121062674,Private room,26,1,0,,,1,260,0,
30315147,Willkommen in der Nachbarschaft des Kaisers,19522797,Tina,,Hietzing,48.18704,16.29347,Private room,24,1,74,2020-11-08,1.84,1,0,0,
30316955,"Quiet, terrace, next to VIC-UNO, U1 incl. garage",227666906,Waltraud,,Donaustadt,48.25176,16.43844,Entire home/apt,61,2,110,2022-01-15,2.85,1,25,18,
30317010,Cozy flat close to metro station.,47799505,Alvaro,,Simmering,48.16761,16.42596,Private room,35,1,36,2020-02-12,0.93,2,39,0,
30320173,Wanderlust Vienna Apartment,173490555,Tina,,Ottakring,48.20849,16.33722,Entire home/apt,59,1,10,2019-12-08,0.25,1,0,0,
30328563,Beautiful apartment near the “Rathaus”/800m,170320466,Анна,,Josefstadt,48.20955,16.34599,Entire home/apt,65,1,7,2022-01-16,0.18,3,1,1,
30336647,Stylish and very quiet apartment in the center,28743480,Peter,,Wieden,48.19584,16.37336,Entire home/apt,79,3,80,2022-03-02,2.04,2,240,13,
30344076,Cosy designer apartment in prime location,68112445,Vita,,Favoriten,48.18402,16.37265,Entire home/apt,74,21,132,2021-08-28,3.26,2,0,2,
30360662,Private Room - close to subway - 15 min to center,213901923,Thomas,,Ottakring,48.21233,16.30887,Private room,30,1,121,2022-02-21,3.07,2,124,34,
30360694,APARTMENT DIRECT AT SUBWAY STATION + AT BEACH,30957108,Reinhard,,Donaustadt,48.23714,16.42348,Entire home/apt,75,4,28,2022-02-24,0.71,6,287,5,
30361579,Spacious Room & Balcony in Shared Flat at Prater,143985654,Matthias,,Leopoldstadt,48.2186,16.3978,Private room,25,4,2,2019-01-02,0.05,1,0,0,
30361695,KLIMAANLAGE und ZENTRAL direkt an U-BAHN STATION,30957108,Reinhard,,Mariahilf,48.1905,16.33855,Entire home/apt,85,4,19,2022-01-02,0.59,6,316,1,
30362296,"Cozy Art-Apartment in Vienna (""Servitenviertel"")",8749211,Karoline,,Alsergrund,48.22218,16.36454,Entire home/apt,85,2,1,2019-01-02,0.03,1,0,0,
30363118,Schönes WG Zimmer,86743159,Shirin,,Landstra§e,48.19245,16.38569,Private room,39,4,2,2019-01-05,0.05,1,0,0,
30927297,Apartment Oswald Schönbrunn,209433046,Anna,,Meidling,48.17196,16.32781,Entire home/apt,75,5,52,2019-12-31,1.33,5,364,0,
30932072,Cozy apartment in the heart of Vienna,54208959,Iulian,,Margareten,48.18963,16.35159,Entire home/apt,35,2,25,2021-08-25,0.66,1,0,2,
30948511,Gemütliches 1-Zimmer Apartment nahe  Uno-City,92979273,Birgit,,Leopoldstadt,48.22457,16.40141,Entire home/apt,59,3,28,2021-10-06,0.79,21,259,12,
30950154,Apartment L12 up to 6 people with optional parking,162761604,Vienna-Invites-You . At,,Donaustadt,48.22843,16.52123,Entire home/apt,98,2,2,2019-12-21,0.05,36,179,0,
30959066,"VIENNA 
CITY CENTER 
Apartment 86m2",231329988,Raoul,,Mariahilf,48.19908,16.35611,Entire home/apt,86,2,9,2019-03-24,0.23,1,0,0,
30968961,Gemütliche Wohnung in Grün-Ruhelage Nähe Grinzing,105705660,Lydia,,Dbling,48.24479,16.34014,Private room,100,5,0,,,2,365,0,
30969511,"Vienna Vintage - Lightful, Spacious, Central Flat",231397185,Helga,,Leopoldstadt,48.218,16.37417,Entire home/apt,130,1,4,2019-03-10,0.10,1,0,0,
30970423,4 Beds and More Vienna Apartments for 8 guests,181410615,4beds&More,,Favoriten,48.16783,16.38217,Hotel room,232,2,0,,,6,357,0,
30970425,4 Beds and More Vienna Apartments for 6 guests,181410615,4beds&More,,Favoriten,48.16608,16.38169,Hotel room,188,1,0,,,6,282,0,
30971046,Airbnb Altbau Apartment 110qm OrganicNatureDesign,99465721,Felix,,Rudolfsheim-Fnfhaus,48.18483,16.32995,Entire home/apt,99,2,2,2020-01-02,0.05,1,3,0,
30972228,Beautiful Apartment with an  view over Vienna,53270069,Vincent,,Ottakring,48.21284,16.32872,Entire home/apt,20,5,0,,,2,0,0,
30974146,cozy room very central in Vienna,180168963,Cecilia,,Josefstadt,48.21249,16.35517,Private room,25,4,1,2019-01-03,0.03,2,0,0,
30974932,Petit bel apartment,22995296,Wolfgang,,Alsergrund,48.22533,16.35587,Entire home/apt,55,1,52,2020-03-17,1.30,1,0,0,
30976913,Newly renovated and well connected Apartment!,231441853,Belma,,Ottakring,48.2134,16.32797,Entire home/apt,48,1,114,2020-03-14,2.88,1,0,0,
30977153,"Ruhiges, helles Zimmer",45155464,Ann-Kathrin,,Hernals,48.21507,16.3279,Private room,20,2,16,2020-02-29,0.42,2,0,0,
30981192,Freundliches 1-Zimmer Apartment für Nachtschwärmer,92979273,Birgit,,Hernals,48.21708,16.34137,Entire home/apt,49,3,12,2022-03-08,0.44,21,322,9,
30984799,Sunny chic apartment in a classic Viennese house,105424816,Octo,,Meidling,48.17854,16.34358,Entire home/apt,75,1,76,2021-03-31,1.96,6,208,1,
30987655,City-Center-Apartment 8,145620876,Monika,,Wieden,48.19668,16.37209,Entire home/apt,53,1,41,2022-02-20,1.08,1,252,12,
31004949,Stylisches Apartment in bester Lage_TOP  2,8590267,Dany,,Neubau,48.20185,16.34938,Entire home/apt,88,2,4,2019-12-30,0.13,2,364,0,
31014477,Villa2 holiday complex with free parking place!,226163195,Abraham,,Favoriten,48.16246,16.40892,Entire home/apt,95,2,54,2021-12-02,1.39,9,292,10,
31014664,Villa3 holiday complex with free parking place!,226163195,Abraham,,Favoriten,48.16246,16.40892,Entire home/apt,95,2,45,2020-08-19,1.23,9,266,0,
31016305,SLI #8 Apartment - new and top located,66299057,Michael & Mathias,,Josefstadt,48.21496,16.34974,Entire home/apt,87,2,107,2022-03-06,2.81,7,311,30,
31017407,Penthouse with Roof Terrace & Stunning View (A/C),231652877,Verena,,Brigittenau,48.23432,16.37265,Entire home/apt,75,2,13,2021-11-21,0.33,1,0,2,
31020757,Designed Apartment close to the center,26196389,Anastasia,,Ottakring,48.21585,16.31842,Entire home/apt,65,3,10,2019-10-09,0.25,3,0,0,
31021376,Cosy City Apartment,171273003,Mat,,Margareten,48.18354,16.35359,Entire home/apt,40,1,5,2020-03-15,0.19,1,0,0,
31021857,Modern & nice Studio ★very close to center★,183354217,Alex,,Favoriten,48.17716,16.37137,Entire home/apt,45,1,8,2019-11-25,0.20,1,0,0,
31029803,"Bohemien Artist Loft  in ""Shabby Chic""",809217,Roswitha,,Ottakring,48.20974,16.32633,Entire home/apt,110,3,9,2020-01-05,0.28,1,247,0,
31031039,Beautiful apartment in the center,231594263,Blanca,,Wieden,48.187,16.37166,Entire home/apt,66,2,32,2021-11-21,0.88,1,36,6,
31040046,"Home, sweet home  -  Vienna",231845744,Ivan,,Hernals,48.21945,16.32712,Entire home/apt,21,1,10,2021-08-29,0.29,1,191,3,
